cooling_preset,policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,98,2.3522319200059907,0.2828608354726592,2.0693710845333313,2.63509275547865,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,99,2.379970073859199,0.26563993821339965,2.1143301356457993,2.6456100120725985,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,100,2.399879476864395,0.285380584134102,2.114498892730293,2.685260060998497,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,101,2.4302696444656653,0.28288088387540994,2.1473887605902555,2.713150528341075,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,102,2.444650295558565,0.27739029090733236,2.1672600046512325,2.7220405864658974,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,103,2.444650295558565,0.27739029090733236,2.1672600046512325,2.7220405864658974,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,104,2.4550511330192832,0.28244767527803294,2.1726034577412503,2.737498808297316,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,105,2.477276820309621,0.29125770549974245,2.1860191148098784,2.7685345258093634,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,106,2.487378320841135,0.2858925846333782,2.201485736207757,2.7732709054745133,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,107,2.4953200010503065,0.2973143234146635,2.198005677635643,2.79263432446497,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,108,2.5126039216093106,0.3272433143409658,2.1853606072683447,2.8398472359502764,3
